Number of training samples for the male class: 720
Number of training samples for the female class: 1680
Number of features: 12
Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 4.094915062380427e-05 , cost: 0.46136785995610247
Lambda: 6.55128556859551e-05 , cost: 0.46136785995610247
Lambda: 0.00010481131341546853 , cost: 0.46136785995610247
Lambda: 0.00016768329368110083 , cost: 0.46136785995610247
Lambda: 0.0002682695795279727 , cost: 0.46136785995610247
Lambda: 0.00042919342601287783 , cost: 0.46136785995610247
Lambda: 0.0006866488450042998 , cost: 0.45961654647098865
Lambda: 0.0010985411419875584 , cost: 0.45786523298587484
Lambda: 0.001757510624854793 , cost: 0.45786523298587484
Lambda: 0.002811768697974231 , cost: 0.45786523298587484
Lambda: 0.004498432668969444 , cost: 0.44833625218914186
Lambda: 0.0071968567300115215 , cost: 0.44133099824868655
Lambda: 0.011513953993264481 , cost: 0.425569176882662
Lambda: 0.018420699693267165 , cost: 0.4290718038528897
Lambda: 0.029470517025518096 , cost: 0.4378283712784589
Lambda: 0.04714866363457394 , cost: 0.4605954465849388
Lambda: 0.07543120063354623 , cost: 0.4903677758318739
Lambda: 0.1206792640639329 , cost: 0.5286901857615919
Lambda: 0.19306977288832497 , cost: 0.539198066672275
Lambda: 0.30888435964774846 , cost: 0.5672190824340964
Lambda: 0.49417133613238384 , cost: 0.6145045465321699
Lambda: 0.7906043210907702 , cost: 0.6652926376004711
Lambda: 1.2648552168552958 , cost: 0.7073241612432032
Lambda: 2.0235896477251556 , cost: 0.723292469352014
Lambda: 3.2374575428176464 , cost: 0.7355516637478108
Lambda: 5.1794746792312125 , cost: 0.733800350262697
Lambda: 8.286427728546842 , cost: 0.7355516637478108
Lambda: 13.257113655901108 , cost: 0.7373029772329246
Lambda: 21.209508879201927 , cost: 0.7408056042031522
Lambda: 33.9322177189533 , cost: 0.7443082311733801
Lambda: 54.286754393238596 , cost: 0.7443082311733801
Lambda: 86.85113737513521 , cost: 0.7443082311733801
Lambda: 138.9495494373139 , cost: 0.7443082311733801
Lambda: 222.29964825261956 , cost: 0.7460595446584939
Lambda: 355.64803062231283 , cost: 0.7460595446584939
Lambda: 568.9866029018305 , cost: 0.7460595446584939
Lambda: 910.2981779915227 , cost: 0.7460595446584939
Lambda: 1456.3484775012444 , cost: 0.7460595446584939
Lambda: 2329.951810515372 , cost: 0.7460595446584939
Lambda: 3727.593720314938 , cost: 0.7460595446584939
Lambda: 5963.623316594637 , cost: 0.7460595446584939
Lambda: 9540.954763499964 , cost: 0.7460595446584939
